PLT_CN,INVYR,LAT,LON,ELEV,COUNTYCD,canopy_cover_pct,basal_area,total_understory_cover,seedling_tpa,ground_veg_cover,vegetation_density
645306955126144,2020,35.310535,-115.362146,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484817620489998,2018,35.31118,-116.741856,2900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558628069126144,2019,35.31258,-117.588597,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627044126144,2019,35.313652,-120.782496,100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
484817572489998,2018,35.314143,-115.136902,4500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816958489998,2018,35.316388,-119.169927,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306902126144,2020,35.316929,-119.879848,2100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412219892489998,2017,35.31718,-117.649301,3500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627300126144,2019,35.31996,-118.311785,3900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484817638489998,2018,35.322308,-115.435727,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306943126144,2020,35.322586,-116.391468,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627276126144,2019,35.324363,-118.628147,3100.0,29,45.0,40.1919,45.33333333333333,0.0,0.0,22.06
484817727489998,2018,35.324782,-116.165617,1500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627992126144,2019,35.32579,-115.730363,4300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412222922489998,2017,35.327066,-117.355193,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306910126144,2020,35.328557,-119.627293,900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306953126144,2020,35.329212,-116.106395,900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816939489998,2018,35.329645,-119.668398,1100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412220508489998,2017,35.330679,-118.657101,2300.0,29,15.0,7.7014,26.555555555555557,0.0,0.0,8.52
558627059126144,2019,35.331957,-120.493718,1300.0,79,0.0,0.0,0.0,0.0,0.0,0.0
558628062126144,2019,35.333882,-117.292527,3900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412222285489998,2017,35.334345,-115.924172,2300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
645306965126144,2020,35.334532,-115.805741,3700.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221338489998,2017,35.334605,-118.380163,3300.0,29,30.0,0.0,0.0,0.0,0.0,9.0
484816944489998,2018,35.336082,-118.932554,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306920126144,2020,35.337856,-118.873378,500.0,29,0.0,0.0,0.0,0.0,0.0,0.0
484817715489998,2018,35.338842,-115.869346,2900.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627971126144,2019,35.340806,-117.00494,3300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412222663489998,2017,35.342424,-120.007178,1900.0,79,0.0,0.0,0.0,0.0,0.0,0.0
558627334126144,2019,35.343326,-118.024389,2900.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412221124489998,2017,35.344435,-117.063498,3100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484817617489998,2018,35.344873,-115.589851,4500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412222977489998,2017,35.346076,-120.305944,2500.0,79,0.0,0.0,0.0,0.0,0.0,0.0
645306918126144,2020,35.349109,-119.350012,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412221032489998,2017,35.349357,-120.415207,1700.0,79,0.0,0.0,0.0,0.0,0.0,0.0
558627072126144,2019,35.349362,-120.240726,2500.0,79,0.0,0.0,0.0,0.0,0.0,0.0
412221765489998,2017,35.349654,-117.791269,2100.0,29,0.0,0.0,0.0,0.0,0.0,0.0
412223094489998,2017,35.34983,-118.061648,3300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
558627063126144,2019,35.349953,-119.950752,2100.0,79,0.0,0.0,0.0,0.0,0.0,0.0
484817677489998,2018,35.350126,-115.304178,3500.0,71,0.0,0.0,0.0,0.0,0.0,0.0
558627871126144,2019,35.352283,-116.707238,3300.0,71,0.0,0.0,0.0,0.0,0.0,0.0
412221417489998,2017,35.353746,-116.773635,4100.0,71,0.0,0.0,0.0,0.0,0.0,0.0
484816976489998,2018,35.355254,-119.354443,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
645306966126144,2020,35.355663,-115.514958,5500.0,71,16.0,37.9213,27.03846153846154,0.0,0.0,10.78
484816978489998,2018,35.358,-119.078871,300.0,29,0.0,0.0,0.0,0.0,0.0,0.0
